singer,date,song,streams,url_list,gender,language
by Ivana Wong,2,2,2,2,F,Can
by J. Cole,6,6,6,6,M,Eng
by JC 陳詠桐,71,71,71,71,F,Can
by JENNIE,1,1,1,1,F,Other
by JEON SOMI,18,18,18,18,F,Other
by JIN,2,2,2,2,M,Other
by JJ Lin,2,2,2,2,M,Man
"by JNYBeatz, 193",5,5,5,5,G,Can
by JP Saxe,26,26,26,26,M,Eng
by JUDE,44,44,44,44,F,Can
by JW,10,10,10,10,F,Can
by Jace Chan,102,102,102,102,F,Can
"by Jace Chan, Terence Lam",53,53,53,53,G,Can
by Jacky Cheung,6,6,6,6,M,Can
"by Jacky Cheung, Anita Mui",21,21,21,21,G,Can
by Jade Kwan,1,1,1,1,F,Can
"by Jade Kwan, CY 陳澤言",1,1,1,1,G,Can
by James Arthur,28,28,28,28,M,Eng
by Jan Lamb,1,1,1,1,M,Can
by Janice Vidal,73,73,73,73,F,Can
by Jason Chan,62,62,62,62,M,Can
"by Jason Chan, Kiri T",1,1,1,1,G,Can
by Jason Derulo,2,2,2,2,M,Eng
by Jason Mraz,10,10,10,10,M,Eng
by Jay Chou,96,96,96,96,M,Man
"by Jay Chou, Ashin Chen",50,50,50,50,G,Man
by Jay Fung,79,79,79,79,M,Canto
by Jaymes Young,1,1,1,1,M,Eng
by Jer 柳應廷,215,215,215,215,M,Canto
"by Jer 柳應廷, 香港兒童合唱團",21,21,21,21,G,Canto
"by Jeremy Zucker, Chelsea Cutler",10,10,10,10,G,Eng
by Jessi,3,3,3,3,F,Other
by Jill Vidal,28,28,28,28,F,Can
by Joey Yung,130,130,130,130,F,Can
by John Legend,6,6,6,6,M,Eng
"by John Lennon, Yoko Ono",2,2,2,2,G,Eng
by John Mayer,1,1,1,1,M,Eng
by José Feliciano,3,3,3,3,M,Other
by Joyce Cheng,53,53,53,53,F,Can
"by Joyce Cheng, Serrini",15,15,15,15,G,Can
by Juice WRLD,10,10,10,10,M,Eng
"by Juice WRLD, The Kid LAROI",2,2,2,2,G,Eng
by Juno Mak,2,2,2,2,M,Can
"by Juno Mak, Kay Tse",47,47,47,47,G,Can
by Justin Bieber,199,199,199,199,M,Emg
by Justin Lo,48,48,48,48,M,Can
by KSI,1,1,1,1,M,Eng
by Kaho Hung,47,47,47,47,M,Can
"by Kaho Hung, 陳穎欣",3,3,3,3,G,Can
by Kali Uchis,11,11,11,11,F,Other
by Kanye West,9,9,9,9,M,Eng
by Karen Mok,63,63,63,63,F,Can
by Kay Tse,92,92,92,92,F,Can
"by Kay Tse, Room307",3,3,3,3,G,Can
by Kayee Tam,1,1,1,1,F,Can
by Kelly Chen,1,1,1,1,F,Can
by Kelly Clarkson,4,4,4,4,F,Eng
"by Kelly Clarkson, Ariana Grande",1,1,1,1,G,Eng
by Ken Hung,7,7,7,7,M,Can
by Kenshi Yonezu,33,33,33,33,M,Other
by Keung To,190,190,190,190,M,Can
"by Keung To, Anson Lo 盧瀚霆",12,12,12,12,G,Canto
"by Keung To, Fatboy",18,18,18,18,G,Canto
"by Keung To, Jhen F",16,16,16,16,G,Canto
by Khalid,2,2,2,2,M,Eng
by Kwan Gor,4,4,4,4,M,Can
by Kylie Minogue,1,1,1,1,F,Eng
by LANY,1,1,1,1,M,Eng
by LISA,33,33,33,33,F,Other
by Lady Gaga,6,6,6,6,F,Eng
"by Lady Gaga, Bradley Cooper",50,50,50,50,G,Eng
by Lauv,1,1,1,1,M,Eng
by Leehom Wang,1,1,1,1,M,Man
by Leo Ku,7,7,7,7,M,Can
by Leon Lai,4,4,4,4,M,Can
by Leona Lewis,1,1,1,1,F,Eng
by Leslie Cheung,75,75,75,75,M,Can
by Lewis Capaldi,76,76,76,76,M,Eng
by LiSA,59,59,59,59,F,Other
by Lil Nas X,88,88,88,88,M,Eng
"by Lil Tjay, 6LACK",10,10,10,10,G,Eng
by Lil’ Ashes,3,3,3,3,G,Can
by Lizzo,4,4,4,4,F,Eng
by Lorde,4,4,4,4,F,Eng
by Lukas Graham,1,1,1,1,M,Eng
by Luna Is A Bep,4,4,4,4,F,Can
by MAMAMOO,2,2,2,2,G,Other
by MC $oho & KidNey,49,49,49,49,G,Can
by MC 張天賦,73,73,73,73,M,Can
"by MC 張天賦, Jay Fung",25,25,25,25,G,Can
